Date and Time:                Fri Mar 21 14:11:33.414 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
976,19287	-60
976,72894	-139
977,26508	-62
977,80121	-1
978,33734	-32
978,87354	-1
979,40973	-195
979,94598	-94
980,48224	-17
981,01849	-1
981,55481	-49
982,09113	-117
982,6275	-265
983,16388	-63
983,70026	-150
984,23669	-161
984,77313	-4
985,30963	-106
985,84613	-180
986,38263	-44
986,91919	-55
987,45575	-143
987,99237	105
988,52899	-129
989,06561	-20
989,60229	-104
990,13898	-10
990,67572	-38
991,21246	-109
991,74921	-17
992,28601	-63
992,82281	-112
993,35968	-87
993,89655	28
994,43341	-79
994,97034	-136
995,50726	-117
996,04419	-10
996,58118	-166
997,11823	4
997,65527	-81
998,19232	-88
998,72937	51
999,26648	-127
999,80365	-63
1000,3408	-100
1000,878	-171
1001,4152	-31
1001,9524	-99
1002,4896	-177
1003,0269	-164
1003,5642	-53
1004,1016	-172
1004,6389	84
1005,1763	-17
1005,7137	86
1006,2511	50
1006,7886	-185
1007,326	-84
1007,8635	-239
1008,4011	-11
1008,9386	40
1009,4761	-74
1010,0137	16
1010,5514	-22
1011,0891	-24
1011,6267	-99
1012,1644	-31
1012,7021	-170
1013,2399	-60
1013,7776	6
1014,3154	-82
1014,8532	-75
1015,3911	-105
1015,9289	-121
1016,4668	-218
1017,0047	-87
1017,5427	-134
1018,0806	-44
1018,6186	-6
1019,1566	-66
1019,6946	-174
1020,2327	-21
1020,7708	-109
1021,3089	-31
